timestamp_ms,flow_rate_ml_min
0,0.006
2,0.006
4,0.008
6,0.01
8,0.012
10,0.014
12,0.016
14,0.018
16,0.022
18,0.02
20,0.022
22,0.02
24,0.022
27,0.022
28,0.018
30,0.018
32,0.014
34,0.012
36,0.014
38,0.012
40,0.01
42,0.01
46,0.004
47,0.002
48,-0.002
50,-0.002
52,-0.004
54,-0.004
56,-0.004
58,-0.004
60,-0.004
62,-0.002
64,-0.002
66,-0.002
68,0.002
70,0.002
72,0.002
74,0.004
76,0.006
78,0.006
80,0.01
82,0.012
84,0.014
86,0.016
88,0.022
90,0.02
92,0.022
94,0.026
96,0.026
98,0.028
100,0.03
102,0.03
104,0.028
106,0.028
108,0.026
110,0.028
112,0.028
114,0.026
116,0.024
118,0.022
120,0.02
122,0.016
124,0.014
126,0.012
128,0.012
130,0.008
132,0.008
134,0.006
136,0.008
138,0.006
140,0.006
142,0.006
144,0.008
146,0.006
148,0.006
150,0.008
152,0.008
154,0.01
156,0.012
158,0.012
160,0.012
162,0.016
164,0.016
166,0.014
168,0.014
170,0.014
172,0.014
174,0.014
176,0.014
178,0.014
180,0.014
182,0.014
184,0.012
186,0.01
188,0.01
190,0.008
192,0.006
194,0.004
197,0.002
200,-0.002
201,-0.002
202,0.002
205,-0.002
206,-0.002
208,-0.002
210,-0.002
212,-0.002
214,-0.002
216,-0.002
218,-0.004
220,-0.002
222,0.002
224,0.002
226,0.004
228,0.004
230,0.006
232,0.01
234,0.01
236,0.012
238,0.016
240,0.014
242,0.014
244,0.012
246,0.01
248,0.008
250,0.01
252,0.008
254,0.01
256,0.01
258,0.008
260,0.008
262,0.006
264,0.006
266,0.006
268,0.004
270,0.004
272,0.004
274,0.006
276,0.008
278,0.006
280,0.008
282,0.01
284,0.01
286,0.012
288,0.012
290,0.008
292,0.006
294,0.006
296,0.008
298,0.008
300,0.01
302,0.01
304,0.01
306,0.01
308,0.012
310,0.012
312,0.014
314,0.012
316,0.012
318,0.012
320,0.012
322,0.012
324,0.012
326,0.014
328,0.012
330,0.012
332,0.012
334,0.01
336,0.008
338,0.01
340,0.01
342,0.008
344,0.008
346,0.008
348,0.008
350,0.01
352,0.01
354,0.012
356,0.014
358,0.014
360,0.016
362,0.016
364,0.016
366,0.018
368,0.018
370,0.018
372,0.02
374,0.02
376,0.02
378,0.02
380,0.02
382,0.02
384,0.018
386,0.016
388,0.014
390,0.014
392,0.012
