timestamp_ms,flow_rate_ml_min
0,0.004
2,0.006
4,0.006
6,0.008
8,0.008
10,0.008
12,0.008
14,0.01
16,0.01
18,0.012
20,0.012
22,0.012
24,0.012
26,0.01
28,0.012
30,0.01
32,0.01
34,0.01
36,0.01
38,0.008
40,0.006
42,0.006
44,0.004
46,0.004
48,0.004
50,0.004
52,0.002
54,0.002
56,0.002
59,0.002
60,0.002
62,0.002
66,0.002
66,-0.002
68,-0.002
70,0.002
72,0.004
74,0.002
76,0.004
78,0.006
80,0.006
82,0.006
84,0.006
86,0.006
88,0.008
90,0.008
92,0.008
94,0.008
96,0.008
98,0.008
100,0.006
102,0.006
104,0.006
106,0.004
108,0.002
110,0.002
112,-0.002
114,-0.002
116,-0.002
118,-0.002
120,-0.002
122,-0.002
124,0.002
126,-0.002
128,0.002
130,0.002
132,0.002
134,0.002
136,0.002
138,0.004
140,0.002
142,0.006
144,0.004
146,0.006
148,0.006
150,0.008
152,0.006
154,0.006
156,0.006
158,0.006
160,0.006
162,0.008
164,0.008
166,0.01
168,0.008
170,0.008
172,0.008
174,0.01
176,0.008
178,0.01
180,0.01
182,0.01
184,0.01
186,0.008
188,0.008
190,0.006
192,0.008
194,0.008
196,0.008
198,0.006
200,0.006
202,0.006
204,0.006
206,0.004
208,0.002
210,0.004
212,0.002
214,0.002
216,0.004
218,0.008
220,0.008
222,0.006
224,0.008
226,0.006
228,0.006
230,0.008
232,0.01
234,0.01
236,0.01
238,0.01
240,0.008
242,0.008
244,0.01
246,0.008
248,0.008
250,0.006
252,0.004
254,0.004
256,0.002
258,0.002
260,0.002
262,-0.002
264,-0.002
266,-0.002
268,-0.002
270,0.002
272,-0.002
274,-0.002
276,0.002
280,0.002
280,0.004
282,0.002
284,0.004
286,0.006
288,0.006
290,0.006
292,0.004
294,0.004
296,0.002
298,0.002
300,0.004
302,0.006
304,0.008
306,0.006
308,0.01
310,0.01
312,0.01
314,0.012
316,0.01
318,0.01
320,0.01
322,0.008
324,0.008
326,0.008
328,0.006
330,0.004
332,0.004
334,0.002
336,0.002
338,0.002
340,0.004
342,0.006
344,0.006
346,0.006
348,0.006
350,0.008
352,0.006
354,0.008
356,0.01
358,0.008
360,0.006
362,0.01
364,0.008
366,0.01
368,0.01
370,0.01
372,0.008
374,0.008
376,0.008
378,0.008
380,0.008
382,0.008
384,0.01
386,0.01
388,0.008
390,0.008
392,0.008
394,0.006
396,0.006
398,0.008
400,0.006
402,0.006
404,0.004
406,0.006
408,0.006
410,0.006
412,0.008
414,0.004
416,0.006
418,0.004
420,0.002
422,0.002
424,0.002
426,0.002
