timestamp_ms,flow_rate_ml_min
0,0.008
2,0.004
4,0.006
6,0.006
8,0.004
10,0.002
12,0.004
14,0.002
16,0.004
18,0.002
20,0.004
22,0.002
24,0.002
26,-0.002
28,-0.002
30,-0.004
32,-0.002
34,-0.002
36,-0.002
38,0.002
40,0.002
42,0.002
44,0.002
46,-0.002
48,-0.002
50,0.002
52,0.002
54,0.004
56,0.004
58,0.004
60,0.008
62,0.008
64,0.008
66,0.008
68,0.008
70,0.008
72,0.008
74,0.008
76,0.008
78,0.01
80,0.008
82,0.006
84,0.006
86,0.006
88,0.004
90,0.002
92,0.002
94,0.002
96,0.002
98,0.002
100,0.002
102,0.004
104,0.002
106,0.002
108,0.002
110,0.002
112,0.002
114,0.002
116,0.002
118,0.004
120,0.004
122,0.006
124,0.006
126,0.006
128,0.01
130,0.01
132,0.01
134,0.01
136,0.01
138,0.01
140,0.01
142,0.01
144,0.008
146,0.01
148,0.008
150,0.008
152,0.008
154,0.01
156,0.008
158,0.008
160,0.01
162,0.008
164,0.008
166,0.006
168,0.004
170,0.004
172,0.004
174,0.002
176,0.002
178,0.002
180,0.002
182,0.002
184,0.002
186,0.004
189,0.002
190,-0.002
193,0.002
194,-0.002
196,0.002
198,0.004
200,0.004
202,0.004
204,0.006
206,0.006
208,0.006
210,0.008
212,0.008
214,0.01
216,0.01
218,0.014
220,0.014
222,0.01
224,0.008
226,0.008
228,0.006
230,0.006
232,0.004
234,0.004
236,0.004
238,0.002
240,0.004
242,-0.002
244,0.002
246,-0.002
248,-0.002
250,-0.002
252,-0.002
254,-0.002
256,0.002
258,0.002
261,0.002
262,0.002
264,0.002
266,0.002
268,0.004
270,0.004
272,0.006
274,0.006
276,0.008
278,0.01
280,0.01
282,0.01
284,0.008
286,0.01
288,0.01
290,0.01
292,0.01
294,0.01
296,0.012
298,0.01
300,0.01
302,0.01
304,0.008
306,0.008
308,0.008
310,0.008
312,0.006
314,0.006
316,0.004
318,0.006
320,0.002
322,0.002
324,0.004
326,0.002
328,0.002
330,0.002
333,0.002
334,0.006
336,0.004
338,0.004
340,0.006
342,0.006
344,0.006
346,0.006
348,0.008
350,0.006
352,0.006
354,0.008
356,0.008
358,0.01
360,0.008
362,0.008
364,0.008
366,0.008
368,0.006
370,0.008
372,0.008
374,0.008
376,0.006
378,0.008
380,0.008
382,0.008
384,0.008
386,0.006
388,0.004
390,0.006
392,0.004
394,0.006
396,0.006
398,0.004
400,0.004
402,0.004
404,0.002
406,0.002
408,0.002
410,0.002
412,0.004
414,0.004
416,0.004
418,0.006
420,0.008
422,0.006
424,0.006
426,0.008
428,0.006
430,0.006
432,0.008
434,0.008
436,0.01
438,0.01
440,0.008
442,0.008
444,0.006
446,0.006
448,0.008
450,0.008
452,0.01
454,0.01
456,0.008
458,0.008
460,0.008
462,0.008
464,0.006
466,0.006
468,0.006
470,0.008
472,0.008
474,0.008
476,0.006
478,0.004
480,0.004
482,0.002
484,0.002
486,0.002
489,0.002
490,0.004
492,0.004
494,0.004
496,0.006
498,0.006
500,0.006
502,0.006
504,0.006
506,0.006
508,0.006
510,0.006
512,0.008
514,0.008
516,0.006
518,0.008
520,0.01
522,0.01
524,0.006
526,0.006
528,0.006
530,0.004
532,0.006
534,0.006
536,0.008
538,0.006
540,0.008
542,0.008
544,0.008
546,0.008
548,0.008
550,0.006
552,0.008
554,0.006
556,0.006
558,0.008
560,0.008
562,0.006
564,0.006
566,0.006
568,0.006
570,0.008
572,0.01
574,0.008
576,0.008
578,0.01
580,0.01
582,0.01
584,0.01
586,0.01
588,0.008
590,0.01
592,0.012
594,0.012
596,0.01
598,0.012
600,0.01
602,0.008
604,0.008
606,0.004
608,0.004
610,0.006
612,0.006
614,0.006
616,0.006
618,0.006
620,0.006
622,0.002
624,0.004
626,0.004
628,0.006
630,0.008
632,0.006
634,0.006
636,0.006
638,0.006
640,0.006
642,0.006
644,0.008
646,0.008
648,0.006
650,0.006
652,0.008
654,0.008
656,0.01
658,0.008
660,0.008
662,0.006
664,0.006
666,0.004
668,0.006
670,0.006
672,0.006
674,0.006
676,0.006
678,0.006
680,0.006
682,0.008
684,0.006
686,0.006
688,0.006
690,0.008
692,0.006
694,0.008
696,0.004
698,0.004
700,0.004
702,0.004
704,0.002
706,0.006
708,0.006
710,0.01
712,0.01
714,0.012
716,0.012
718,0.012
720,0.012
722,0.012
724,0.012
726,0.01
728,0.01
730,0.01
732,0.012
734,0.01
736,0.01
738,0.012
740,0.012
742,0.01
744,0.012
746,0.008
748,0.01
750,0.01
752,0.01
754,0.01
756,0.01
758,0.012
760,0.01
762,0.008
764,0.006
766,0.006
768,0.006
770,0.006
772,0.006
774,0.004
776,0.004
778,0.004
780,0.004
782,0.006
784,0.006
786,0.006
788,0.006
790,0.008
792,0.008
794,0.008
796,0.008
798,0.008
800,0.008
802,0.008
804,0.008
806,0.008
808,0.008
810,0.006
812,0.006
814,0.006
816,0.006
818,0.004
820,0.006
822,0.006
824,0.006
826,0.006
828,0.006
830,0.006
832,0.008
834,0.006
836,0.008
838,0.008
840,0.008
842,0.006
844,0.008
846,0.006
848,0.006
850,0.006
852,0.006
854,0.004
856,0.002
858,0.006
860,0.004
862,0.006
864,0.006
866,0.008
868,0.008
870,0.008
872,0.008
874,0.01
876,0.01
878,0.01
880,0.012
882,0.012
884,0.012
886,0.016
888,0.016
890,0.016
892,0.014
894,0.014
896,0.012
898,0.01
900,0.01
902,0.01
904,0.01
906,0.01
908,0.008
910,0.008
912,0.008
914,0.006
916,0.006
918,0.006
920,0.004
922,0.006
924,0.004
926,0.004
928,0.004
930,0.004
932,0.006
934,0.006
936,0.006
938,0.006
940,0.006
942,0.008
944,0.01
946,0.01
948,0.012
950,0.01
952,0.012
954,0.01
956,0.01
958,0.012
960,0.014
962,0.014
964,0.014
966,0.014
968,0.012
970,0.01
972,0.012
974,0.012
976,0.012
978,0.01
980,0.01
982,0.01
984,0.008
986,0.006
988,0.006
990,0.004
992,0.004
994,0.002
996,0.002
998,0.002
1000,0.002
1002,0.002
1004,0.002
1006,0.002
1008,0.004
1010,0.004
1012,0.006
1014,0.006
1016,0.008
1018,0.01
1020,0.01
1022,0.01
1024,0.012
1026,0.01
1028,0.012
1030,0.014
1032,0.014
1034,0.012
1036,0.012
1038,0.01
1040,0.012
1042,0.01
1044,0.01
1046,0.01
1048,0.008
1050,0.01
1052,0.008
1054,0.008
1056,0.006
1058,0.006
1060,0.004
1062,0.004
1064,0.004
1066,0.002
1068,0.002
1070,0.002
1072,0.002
1074,0.004
1076,0.004
1078,0.006
1080,0.006
1082,0.006
1084,0.006
1086,0.008
1088,0.008
1090,0.008
1092,0.01
1094,0.01
1096,0.012
1098,0.012
1100,0.014
1102,0.014
1104,0.014
1106,0.014
1108,0.014
1110,0.014
1112,0.014
1114,0.01
1116,0.014
1118,0.012
1120,0.012
1122,0.012
1124,0.01
1126,0.008
1128,0.008
1130,0.01
1132,0.006
1134,0.006
1136,0.008
1138,0.01
1140,0.008
1142,0.008
1144,0.008
1146,0.006
1148,0.008
1150,0.006
1152,0.008
1154,0.008
1156,0.008
1158,0.01
1160,0.008
1162,0.008
1164,0.006
1166,0.006
1168,0.008
1170,0.008
1172,0.008
1174,0.01
1176,0.01
1178,0.012
1180,0.012
1182,0.01
1184,0.01
1186,0.012
1188,0.01
1190,0.01
1192,0.01
1194,0.012
1196,0.01
1198,0.01
1200,0.008
1202,0.006
1204,0.004
1206,0.004
1208,0.006
1210,0.004
1212,0.006
1214,0.004
1216,0.006
1218,0.004
1220,0.006
1222,0.006
1224,0.006
1226,0.006
1228,0.006
1230,0.004
1232,0.006
1234,0.006
1236,0.008
1238,0.008
1240,0.01
1242,0.01
1244,0.01
1246,0.012
1248,0.012
1250,0.012
1252,0.014
1254,0.012
1256,0.012
1258,0.012
1260,0.014
1262,0.012
1264,0.01
1266,0.01
1268,0.01
1270,0.008
1272,0.008
1274,0.01
1276,0.01
1278,0.012
1280,0.01
1282,0.008
1284,0.008
1286,0.004
1288,0.006
1290,0.004
1292,0.004
1294,0.006
1296,0.008
1298,0.008
1300,0.008
1302,0.008
1304,0.008
1306,0.006
1308,0.008
1310,0.01
1312,0.012
1314,0.01
1316,0.012
1318,0.014
1320,0.014
1322,0.014
1324,0.012
1326,0.012
1328,0.01
1330,0.012
1332,0.012
1334,0.014
1336,0.01
1338,0.01
1340,0.01
1342,0.012
1344,0.008
1346,0.008
1348,0.006
1350,0.006
1352,0.006
1354,0.004
1356,0.006
1358,0.006
1360,0.006
1362,0.006
1364,0.004
1366,0.006
1368,0.006
1370,0.006
1372,0.008
1374,0.008
1376,0.008
1378,0.01
1380,0.008
1382,0.01
1384,0.012
1386,0.01
1388,0.008
1390,0.008
1392,0.008
1394,0.008
1396,0.01
1398,0.012
1400,0.012
1402,0.01
1404,0.01
1406,0.01
1408,0.01
1410,0.01
1412,0.01
1414,0.01
1416,0.01
1418,0.008
1420,0.008
1422,0.008
1424,0.008
1426,0.01
1428,0.006
1430,0.006
1432,0.008
1434,0.008
1436,0.008
1438,0.008
1440,0.008
1442,0.008
1444,0.008
1446,0.008
1448,0.008
1450,0.008
1452,0.01
1454,0.01
1456,0.008
1458,0.01
1460,0.01
1462,0.01
1464,0.01
1466,0.01
1468,0.01
1470,0.008
1472,0.01
1474,0.012
1476,0.01
1478,0.012
1480,0.014
1482,0.014
1484,0.016
1486,0.014
1488,0.012
1490,0.014
1492,0.012
1494,0.01
1496,0.012
1498,0.012
1500,0.01
1502,0.01
1504,0.01
1506,0.012
1508,0.01
1510,0.008
1512,0.008
1514,0.008
1516,0.006
1518,0.006
1520,0.006
1522,0.006
1524,0.006
1526,0.006
1528,0.008
1530,0.006
1532,0.008
1534,0.008
1536,0.01
1538,0.01
1540,0.008
1542,0.01
1544,0.01
1546,0.01
1548,0.01
1550,0.01
1552,0.008
1554,0.01
1556,0.008
1558,0.01
1560,0.01
1562,0.01
1564,0.008
1566,0.01
1568,0.008
1570,0.008
1572,0.008
1574,0.006
1576,0.006
1578,0.004
1580,0.006
1582,0.006
1584,0.006
1586,0.006
1588,0.006
1590,0.004
1592,0.006
1594,0.004
1596,0.008
1598,0.008
1600,0.008
1602,0.008
1604,0.008
1606,0.008
1608,0.008
1610,0.008
1612,0.008
1614,0.008
1616,0.01
1618,0.01
1620,0.01
1622,0.012
1624,0.012
1626,0.012
1628,0.014
1630,0.016
1632,0.014
1634,0.016
1636,0.014
1638,0.014
1640,0.016
1642,0.016
1644,0.014
1646,0.012
1648,0.012
1650,0.012
1652,0.01
1654,0.01
1656,0.01
1658,0.01
1660,0.008
1662,0.008
1664,0.006
1666,0.008
1668,0.008
1670,0.008
1672,0.008
1674,0.006
1676,0.008
1678,0.008
1680,0.008
1682,0.01
1684,0.008
1686,0.01
1688,0.012
1690,0.01
1692,0.01
1694,0.012
1696,0.012
1698,0.014
1700,0.014
1702,0.016
1704,0.014
1706,0.014
1708,0.014
1710,0.012
1712,0.012
1714,0.01
1716,0.01
1718,0.008
1720,0.008
1722,0.008
1724,0.006
1726,0.006
1728,0.006
1730,0.004
1732,0.004
1734,0.004
1736,0.004
1738,0.002
1740,0.002
1742,0.004
1744,0.002
1746,0.004
1748,0.004
1750,0.004
1752,0.006
1754,0.006
1756,0.008
1758,0.008
1760,0.01
1762,0.008
1764,0.01
1766,0.01
1768,0.014
1770,0.014
1772,0.014
1774,0.016
1776,0.016
1778,0.016
1780,0.016
1782,0.014
1784,0.014
1786,0.012
1788,0.01
1790,0.008
1792,0.008
1794,0.006
1796,0.008
1798,0.008
1800,0.006
1802,0.006
1804,0.004
1806,0.006
1808,0.006
1810,0.004
1812,0.006
1814,0.006
1816,0.006
1818,0.008
1820,0.01
1822,0.01
1824,0.012
1826,0.012
1828,0.012
1830,0.012
1832,0.012
1834,0.012
1836,0.016
1838,0.014
1840,0.014
1842,0.016
1844,0.014
1846,0.012
1848,0.012
1850,0.012
1852,0.012
1854,0.012
1856,0.014
1858,0.014
1860,0.012
1862,0.014
1864,0.012
1866,0.014
1868,0.01
1870,0.01
1872,0.01
1874,0.008
1876,0.01
1878,0.008
1880,0.006
1882,0.006
1884,0.006
1886,0.006
1888,0.004
1890,0.002
1892,0.002
1894,0.006
1896,0.004
1898,0.006
1900,0.006
1902,0.006
1904,0.01
1906,0.01
1908,0.01
1910,0.012
1912,0.014
1914,0.018
1916,0.028
1918,0.04
1920,0.072
1922,0.136
1924,0.26
1926,0.516
1928,0.924
1930,1.67
1932,3.19
1934,5.724
1936,9.426
1938,13.626
1940,16.89
1942,18.1
1944,17.304
1946,15.998
1948,15.356
1950,14.62
1952,13.362
1954,12.368
1956,11.588
1958,10.902
1960,10.62
1962,10.506
1964,10.67
1966,11.192
1968,11.864
1970,12.484
1972,12.682
1974,12.444
1976,11.456
1978,9.956
1980,8.506
1982,6.884
1984,4.392
1986,2.252
1988,1.166
1990,0.666
1992,0.394
1994,0.274
1996,0.276
1998,0.384
2000,0.674
2002,1.28
2004,2.328
2006,3.962
2008,6.2
2010,8.356
2012,9.43
2014,9.344
2016,8.496
2018,6.684
2020,4.51
2022,2.738
2024,1.54
2026,0.826
2028,0.466
2030,0.256
2032,0.164
2034,0.152
2036,0.216
2038,0.42
2040,0.908
2042,1.908
2044,3.616
2046,5.766
2048,7.418
2050,8.214
2052,6.796
2054,3.962
2056,2.02
2058,1.126
2060,0.652
2062,0.41
2064,0.352
2066,0.444
2068,0.678
2070,1.308
2072,2.692
2074,5.476
2076,10.286
2078,16.252
2080,19.944
2082,20.272
2084,18.206
2086,15.298
2088,11.322
2090,7.956
2092,5.51
2094,3.914
2096,2.904
2098,2.382
2100,2.2
2102,2.26
2104,2.6
2106,3.34
2108,4.58
2110,6.406
2112,8.526
2114,9.992
2116,10.234
2118,9.53
2120,7.476
2122,4.292
2124,2.13
2126,1.152
2128,0.628
2130,0.324
2132,0.204
2134,0.194
2136,0.266
2138,0.452
2140,0.872
2142,1.684
2144,3.222
2146,5.714
2148,8.558
2150,10.506
2152,11.272
2154,10.65
2156,8.73
2158,6.244
2160,4.09
2162,2.606
2164,1.71
2166,1.2
2168,0.944
2170,0.896
2172,1.028
2174,1.332
2176,2.034
2178,3.262
2180,5.058
2182,6.984
2184,8.382
2186,8.796
2188,7.434
2190,4.572
2192,2.574
2194,1.612
2196,1.048
2198,0.728
2200,0.652
2202,0.796
2204,1.122
2206,1.744
2208,3.022
2210,5.16
2212,8.286
2214,11.78
2216,13.996
2218,14.576
2220,13.96
2222,11.934
2224,9.662
2226,7.194
2228,5.134
2230,3.646
2232,2.628
2234,2.03
2236,1.728
2238,1.672
2240,1.82
2242,2.382
2244,3.402
2246,4.894
2248,6.508
2250,7.628
2252,7.93
2254,7.508
2256,5.758
2258,3.55
2260,1.834
2262,1.06
2264,0.614
2266,0.366
2268,0.272
2270,0.3
2272,0.42
2274,0.672
2276,1.228
2278,2.304
2280,4.282
2282,7.364
2284,10.458
2286,12.188
2288,12.116
2290,10.878
2292,8.874
2294,6.448
2296,4.472
2298,3.052
2300,2.16
2302,1.668
2304,1.44
2306,1.442
2308,1.628
2310,2.054
2312,2.966
2314,4.482
2316,6.502
2318,8.266
2320,9.134
2322,8.954
2324,7.158
2326,4.506
2328,2.36
2330,1.388
2332,0.876
2334,0.584
2336,0.52
2338,0.644
2340,0.886
2342,1.346
2344,2.274
2346,3.852
2348,6.38
2350,9.666
2352,12.424
2354,13.388
2356,13.194
2358,11.776
2360,9.502
2362,6.978
2364,4.802
2366,3.302
2368,2.342
2370,1.792
2372,1.51
2374,1.494
2376,1.69
2378,2.15
2380,3.026
2382,4.33
2384,5.852
2386,6.996
2388,7.6
2390,7.372
2392,5.742
2394,3.55
2396,1.922
2398,1.154
2400,0.708
2402,0.474
2404,0.424
2406,0.528
2408,0.794
2410,1.252
2412,2.04
2414,3.524
2416,5.924
2418,8.922
2420,11.34
2422,12.466
2424,12.106
2426,10.404
2428,8.34
2430,6.398
2432,4.57
2434,3.162
2436,2.236
2438,1.688
2440,1.43
2442,1.388
2444,1.63
2446,2.268
2448,3.282
2450,4.922
2452,6.78
2454,8.0
2456,8.316
2458,7.678
2460,5.848
2462,3.348
2464,1.924
2466,1.148
2468,0.736
2470,0.524
2472,0.48
2474,0.574
2476,0.83
2478,1.26
2480,2.028
2482,3.502
2484,6.036
2486,9.36
2488,12.156
2490,13.434
2492,12.866
2494,11.138
2496,8.528
2498,6.094
2500,4.418
2502,3.096
2504,2.236
2506,1.738
2508,1.5
2510,1.496
2512,1.676
2514,2.154
2516,3.124
2518,4.714
2520,6.76
2522,8.254
2524,8.742
2526,8.016
2528,5.734
2530,3.384
2532,1.936
2534,1.1
2536,0.676
2538,0.46
2540,0.422
2542,0.522
2544,0.768
2546,1.248
2548,1.978
2550,3.206
2552,5.424
2554,8.466
2556,11.4
2558,13.19
2560,13.304
2562,11.398
2564,9.026
2566,6.634
2568,4.54
2570,3.082
2572,2.178
2574,1.676
2576,1.462
2578,1.49
2580,1.744
2582,2.262
2584,3.108
2586,4.52
2588,6.194
2590,7.624
2592,8.194
2594,7.63
2596,5.304
2598,2.894
2600,1.732
2602,1.134
2604,0.728
2606,0.544
2608,0.552
2610,0.724
2612,1.122
2614,1.89
2616,2.95
2618,4.718
2620,6.86
2622,9.604
2624,11.442
2626,12.378
2628,12.05
2630,10.31
2632,7.792
2634,5.82
2636,4.262
2638,2.912
2640,2.066
2642,1.59
2644,1.394
2646,1.448
2648,1.722
