timestamp_ms,flow_rate_ml_min
0,0.008
2,0.006
4,0.006
6,0.008
8,0.008
10,0.01
12,0.01
14,0.008
16,0.008
18,0.008
20,0.006
22,0.006
24,0.004
26,0.002
28,0.004
30,0.002
32,0.004
34,0.004
36,0.004
38,0.004
40,0.004
42,0.002
44,-0.002
46,-0.004
48,-0.004
50,-0.006
52,-0.008
54,-0.006
56,-0.004
58,-0.004
60,-0.004
62,-0.002
64,-0.002
66,-0.002
68,-0.004
70,-0.004
72,-0.004
74,-0.004
76,-0.004
78,0.002
80,0.002
82,0.002
84,0.004
86,0.004
88,0.004
90,0.004
92,0.006
94,0.006
96,0.008
98,0.008
100,0.008
102,0.012
104,0.01
106,0.012
108,0.012
110,0.014
112,0.012
114,0.012
116,0.012
118,0.012
120,0.01
122,0.01
124,0.01
126,0.008
128,0.008
130,0.008
132,0.008
134,0.006
136,0.004
138,0.004
140,0.004
142,0.002
144,0.002
146,-0.002
148,0.002
150,0.002
152,0.002
154,0.002
156,0.002
158,0.002
160,0.002
162,0.002
164,-0.002
166,-0.002
168,-0.002
170,-0.002
172,0.002
174,0.006
176,0.006
178,0.006
180,0.006
182,0.006
184,0.006
186,0.004
188,0.002
190,0.004
192,0.002
194,0.002
196,0.004
198,0.002
200,0.002
202,0.004
204,0.006
206,0.004
208,0.002
210,0.002
212,0.004
214,0.004
216,0.004
218,0.004
220,0.006
222,0.008
224,0.008
226,0.01
228,0.01
230,0.008
232,0.01
234,0.01
236,0.01
238,0.01
240,0.008
242,0.008
244,0.012
246,0.012
248,0.012
250,0.014
252,0.016
254,0.016
256,0.014
258,0.014
260,0.012
262,0.014
264,0.012
266,0.012
268,0.012
270,0.01
272,0.008
274,0.008
276,0.008
278,0.006
280,0.004
282,0.002
286,-0.002
287,-0.004
288,-0.002
290,-0.002
292,-0.002
294,0.002
296,0.002
298,0.002
300,0.002
302,0.004
304,0.004
306,0.004
308,0.004
310,0.004
312,0.002
314,0.004
316,0.004
318,0.004
320,0.006
322,0.006
324,0.006
326,0.002
328,0.004
330,0.002
332,0.002
334,0.002
336,0.002
338,0.004
340,0.004
342,0.004
344,0.004
346,0.004
348,0.004
350,0.004
352,0.002
354,0.002
356,0.004
358,0.004
360,0.002
362,0.004
364,0.004
366,0.004
368,0.002
370,0.002
372,0.004
374,0.002
376,0.002
378,0.002
380,0.004
382,0.006
384,0.008
386,0.01
388,0.01
390,0.012
392,0.012
394,0.012
396,0.012
398,0.012
400,0.012
402,0.012
404,0.012
406,0.012
408,0.014
410,0.012
412,0.014
414,0.012
416,0.014
418,0.014
420,0.014
422,0.01
424,0.008
426,0.006
428,0.006
430,0.006
432,0.008
434,0.008
436,0.008
438,0.008
440,0.008
442,0.006
444,0.006
446,0.004
448,0.004
450,0.002
452,0.002
454,0.002
456,0.002
458,0.006
460,0.006
462,0.008
464,0.006
466,0.006
468,0.004
470,0.002
472,0.002
476,0.002
477,0.002
478,0.004
480,0.002
482,0.002
484,0.002
486,0.002
488,0.002
490,0.002
492,0.002
494,0.002
496,0.004
498,0.002
500,0.002
502,0.002
504,0.004
506,0.006
508,0.004
510,0.006
512,0.006
514,0.004
516,0.004
518,0.006
520,0.006
522,0.008
524,0.008
526,0.01
528,0.01
530,0.014
532,0.016
534,0.018
536,0.018
538,0.02
540,0.02
542,0.02
544,0.02
546,0.018
548,0.018
550,0.02
552,0.02
554,0.02
556,0.02
558,0.02
560,0.018
562,0.016
564,0.014
566,0.01
568,0.008
570,0.006
572,0.004
574,0.004
576,0.002
578,-0.002
580,-0.002
582,-0.002
584,-0.004
586,-0.006
588,-0.01
590,-0.01
592,-0.01
594,-0.01
596,-0.008
598,-0.006
600,-0.004
602,-0.004
604,-0.004
606,-0.004
608,-0.002
610,-0.004
612,-0.004
614,-0.002
616,0.002
618,0.002
620,0.004
622,0.006
624,0.01
626,0.01
628,0.01
630,0.014
632,0.014
634,0.014
636,0.014
638,0.016
640,0.016
642,0.016
644,0.016
646,0.018
648,0.018
650,0.02
652,0.02
654,0.018
656,0.018
658,0.018
660,0.018
662,0.016
664,0.018
666,0.016
668,0.016
670,0.016
672,0.016
674,0.018
676,0.018
678,0.016
680,0.014
682,0.01
684,0.008
686,0.006
688,0.004
690,0.004
692,0.004
694,0.004
696,0.006
698,0.006
700,0.004
702,0.004
704,0.002
706,-0.002
708,-0.004
710,-0.004
712,-0.006
714,-0.004
716,-0.004
718,-0.004
720,-0.002
722,-0.002
724,-0.002
726,-0.002
728,-0.004
730,-0.004
732,-0.006
734,-0.006
736,-0.004
738,-0.002
740,-0.002
742,-0.002
744,0.004
746,0.006
748,0.008
750,0.008
752,0.01
754,0.012
756,0.014
758,0.014
760,0.016
762,0.018
764,0.02
766,0.02
768,0.02
770,0.022
772,0.022
774,0.02
776,0.02
778,0.018
780,0.02
782,0.018
784,0.018
786,0.016
788,0.016
790,0.014
792,0.012
794,0.008
796,0.006
798,0.006
800,0.006
802,0.002
804,-0.002
806,-0.002
808,-0.004
810,-0.002
812,-0.002
814,-0.002
816,-0.002
818,-0.002
820,-0.004
822,-0.004
824,-0.004
826,-0.004
828,-0.004
830,-0.002
832,-0.002
834,0.002
836,0.004
838,0.006
840,0.01
842,0.01
844,0.01
846,0.012
848,0.012
850,0.014
852,0.016
854,0.016
856,0.016
858,0.018
860,0.018
862,0.018
864,0.018
866,0.016
868,0.014
