timestamp_ms,flow_rate_ml_min
0,0.008
2,0.01
4,0.01
6,0.01
8,0.012
10,0.012
12,0.01
14,0.01
16,0.008
18,0.006
20,0.008
22,0.008
24,0.006
26,0.008
28,0.006
30,0.006
32,0.004
34,0.004
36,0.004
38,0.004
40,0.004
42,0.002
44,0.002
46,0.002
48,0.002
50,0.002
52,0.002
54,0.002
56,0.002
58,0.002
60,-0.002
62,-0.002
64,-0.002
66,-0.002
68,0.004
70,0.002
72,0.004
74,0.006
76,0.008
78,0.008
80,0.008
82,0.008
84,0.008
86,0.008
88,0.008
90,0.01
92,0.008
94,0.008
96,0.008
98,0.008
100,0.008
102,0.006
104,0.004
106,0.004
108,0.004
110,0.004
112,0.002
114,0.002
116,0.002
118,0.004
120,0.002
122,0.002
124,0.002
126,0.004
128,0.002
130,0.002
132,-0.002
134,0.002
136,0.002
138,-0.002
140,0.002
142,0.002
144,0.002
146,0.002
148,0.002
150,0.002
152,0.002
154,0.002
156,0.002
158,0.002
160,0.002
162,0.002
164,0.004
166,0.004
168,0.004
170,0.006
172,0.008
174,0.008
176,0.008
178,0.006
180,0.006
182,0.004
184,0.002
186,0.002
188,0.004
190,0.004
192,0.006
194,0.008
196,0.008
198,0.01
200,0.008
202,0.008
204,0.008
206,0.01
208,0.01
210,0.01
212,0.012
214,0.012
216,0.016
218,0.016
220,0.016
222,0.014
224,0.014
226,0.012
228,0.012
230,0.012
232,0.012
234,0.014
236,0.012
238,0.012
240,0.012
242,0.01
244,0.01
246,0.006
248,0.004
250,0.004
252,0.002
254,0.002
256,-0.002
258,-0.002
260,-0.002
262,-0.002
264,-0.002
266,-0.004
268,-0.004
270,-0.004
272,-0.006
274,-0.002
276,-0.002
278,-0.002
280,-0.002
282,-0.002
285,0.002
286,0.002
288,0.004
290,0.004
292,0.006
294,0.008
296,0.006
298,0.004
300,0.004
302,0.004
304,0.006
306,0.006
308,0.008
310,0.01
312,0.01
314,0.012
316,0.012
318,0.012
320,0.01
322,0.008
324,0.008
326,0.006
328,0.006
330,0.008
332,0.006
334,0.008
336,0.008
338,0.006
340,0.006
342,0.002
344,0.002
346,-0.002
348,-0.002
350,-0.002
353,-0.002
354,-0.002
356,0.002
358,0.002
360,0.002
362,0.006
364,0.002
366,0.004
368,0.004
370,0.006
372,0.006
374,0.008
376,0.01
378,0.01
380,0.01
382,0.01
384,0.01
386,0.01
388,0.01
390,0.01
392,0.01
394,0.008
396,0.008
398,0.008
400,0.012
402,0.012
404,0.01
406,0.012
408,0.01
410,0.01
412,0.008
414,0.008
416,0.006
418,0.008
420,0.006
422,0.006
424,0.008
426,0.006
428,0.006
430,0.006
432,0.006
434,0.008
436,0.008
438,0.006
440,0.006
442,0.006
444,0.008
446,0.008
448,0.01
450,0.01
452,0.01
454,0.01
456,0.008
458,0.008
460,0.008
462,0.006
464,0.006
466,0.006
468,0.004
470,0.006
472,0.004
474,0.006
476,0.006
478,0.004
480,0.002
482,0.002
484,-0.002
486,-0.002
488,0.002
490,0.002
492,0.002
494,0.002
496,0.004
498,0.004
500,0.004
502,0.004
504,0.004
506,0.004
508,0.004
510,0.004
512,0.006
514,0.008
516,0.01
518,0.01
520,0.012
522,0.012
524,0.012
526,0.012
528,0.012
530,0.012
532,0.012
534,0.012
536,0.012
538,0.012
540,0.01
542,0.01
544,0.01
546,0.01
548,0.006
550,0.006
552,0.004
554,0.002
556,0.004
558,0.004
560,0.004
562,0.004
564,0.004
566,0.004
568,0.006
570,0.006
572,0.006
574,0.006
576,0.006
578,0.006
580,0.004
582,0.004
584,0.004
586,0.004
588,0.006
590,0.008
592,0.01
594,0.012
596,0.01
598,0.01
600,0.01
602,0.008
604,0.01
606,0.01
608,0.01
610,0.014
612,0.014
614,0.016
616,0.016
618,0.014
620,0.012
622,0.01
624,0.01
626,0.008
628,0.006
630,0.004
632,0.004
634,0.006
636,0.004
638,0.004
640,0.006
642,0.006
644,0.006
646,0.004
648,0.004
650,0.004
652,0.004
654,0.004
656,0.002
658,0.004
660,0.006
662,0.004
664,0.006
666,0.006
668,0.008
670,0.008
672,0.008
674,0.006
676,0.008
678,0.006
680,0.006
682,0.008
684,0.01
686,0.01
688,0.01
690,0.01
692,0.01
694,0.008
696,0.004
698,0.006
700,0.004
702,0.006
704,0.008
706,0.006
708,0.006
710,0.006
712,0.008
714,0.006
716,0.006
718,0.006
720,0.006
722,0.004
724,0.006
726,0.004
728,0.006
730,0.008
732,0.01
734,0.01
736,0.01
738,0.012
740,0.01
742,0.008
744,0.008
746,0.008
748,0.008
750,0.01
752,0.012
754,0.014
756,0.014
758,0.014
760,0.012
762,0.01
764,0.008
766,0.006
768,0.006
770,0.004
772,0.004
774,0.004
776,0.006
778,0.006
780,0.008
782,0.008
784,0.006
786,0.006
788,0.004
790,0.004
792,0.004
794,0.004
796,0.006
798,0.006
800,0.008
802,0.008
804,0.01
806,0.01
808,0.012
810,0.01
812,0.012
814,0.01
816,0.01
818,0.01
820,0.012
822,0.014
824,0.014
826,0.018
828,0.016
